First author,Study accession,Publication date,Journal,Title,Reported trait,Trait(s),Discovery sample number and ancestry,Replication sample number and ancestry,Association count,Summary statistics,ftp downloads
Rühlemann MC,GCST90011421,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_108 (Cytophagales) abundance,gut microbiome measurement,8956 European,'-,10,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011421/GCST90011421_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011422,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_11 (Parabacteroides) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011422/GCST90011422_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011423,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_110 (Clostridiales) abundance,gut microbiome measurement,8956 European,'-,6,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011423/GCST90011423_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011424,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_116 (Sutterella) abundance,gut microbiome measurement,8956 European,'-,14,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011424/GCST90011424_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011425,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_12 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,9,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011425/GCST90011425_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011426,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_120 (Ruminococcaceae) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011426/GCST90011426_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011427,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_121 (Ruminococcaceae) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011427/GCST90011427_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011428,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_123 (Phascolarctobacterium) abundance,gut microbiome measurement,8956 European,'-,5,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011428/GCST90011428_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011429,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_124 (Paraprevotella) abundance,gut microbiome measurement,8956 European,'-,11,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011429/GCST90011429_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011430,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_13 (Subdoligranulum) abundance,gut microbiome measurement,8956 European,'-,7,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011430/GCST90011430_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011431,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_132 (Bacteroidales) abundance,gut microbiome measurement,8956 European,'-,13,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011431/GCST90011431_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011432,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_137 (Ruminococcus) abundance,gut microbiome measurement,8956 European,'-,15,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011432/GCST90011432_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011433,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_140 (Desulfovibrio) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011433/GCST90011433_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011434,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_150 (Prevotella) abundance,gut microbiome measurement,8956 European,'-,4,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011434/GCST90011434_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011435,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_155 (Butyrivibrio) abundance,gut microbiome measurement,8956 European,'-,19,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011435/GCST90011435_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011436,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_157 (Barnesiella) abundance,gut microbiome measurement,8956 European,'-,5,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011436/GCST90011436_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011437,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_16 (Faecalibacterium) abundance,gut microbiome measurement,8956 European,'-,9,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011437/GCST90011437_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011438,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_166 (Prevotella) abundance,gut microbiome measurement,8956 European,'-,13,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011438/GCST90011438_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011439,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_17 (Parabacteroides) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011439/GCST90011439_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011440,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_171 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,10,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011440/GCST90011440_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011441,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_19 (Bacteria) abundance,gut microbiome measurement,8956 European,'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011441/GCST90011441_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011442,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_197 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,7,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011442/GCST90011442_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011443,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_2 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,11,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011443/GCST90011443_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011444,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_21 (Parasutterella) abundance,gut microbiome measurement,8956 European,'-,9,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011444/GCST90011444_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011445,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_211 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,10,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011445/GCST90011445_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011446,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_23 (Faecalibacterium) abundance,gut microbiome measurement,8956 European,'-,9,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011446/GCST90011446_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011447,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_24 (Prevotella) abundance,gut microbiome measurement,8956 European,'-,10,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011447/GCST90011447_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011448,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_26 (Parasutterella) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011448/GCST90011448_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011449,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_271 (Prevotella) abundance,gut microbiome measurement,8956 European,'-,15,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011449/GCST90011449_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011450,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_298 (Phascolarctobacterium) abundance,gut microbiome measurement,8956 European,'-,17,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011450/GCST90011450_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011451,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_3 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,4,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011451/GCST90011451_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011452,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_30 (Parasutterella) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011452/GCST90011452_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011355,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_100 (Ruminococcaceae) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011355/GCST90011355_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011356,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_101 (Sutterella) abundance,gut microbiome measurement,8956 European,'-,16,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011356/GCST90011356_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011357,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_102 (Prevotella) abundance,gut microbiome measurement,8956 European,'-,6,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011357/GCST90011357_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011358,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_105 (Ruminococcaceae) abundance,gut microbiome measurement,8956 European,'-,13,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011358/GCST90011358_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011359,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_106 (Ruminococcaceae) abundance,gut microbiome measurement,8956 European,'-,6,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011359/GCST90011359_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011360,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_108 (Phascolarctobacterium) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011360/GCST90011360_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011361,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_109 (Paraprevotella) abundance,gut microbiome measurement,8956 European,'-,4,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011361/GCST90011361_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011362,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_11 (Parabacteroides) abundance,gut microbiome measurement,8956 European,'-,7,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011362/GCST90011362_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011363,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_113 (Bacteroidales) abundance,gut microbiome measurement,8956 European,'-,13,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011363/GCST90011363_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011364,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_117 (Ruminococcus) abundance,gut microbiome measurement,8956 European,'-,15,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011364/GCST90011364_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011365,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_119 (Desulfovibrio) abundance,gut microbiome measurement,8956 European,'-,10,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011365/GCST90011365_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011366,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_12 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,9,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011366/GCST90011366_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011367,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_126 (Prevotella) abundance,gut microbiome measurement,8956 European,'-,5,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011367/GCST90011367_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011368,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_13 (Subdoligranulum) abundance,gut microbiome measurement,8956 European,'-,6,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011368/GCST90011368_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011369,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_130 (Butyrivibrio) abundance,gut microbiome measurement,8956 European,'-,14,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011369/GCST90011369_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011370,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_137 (Catenibacterium) abundance,gut microbiome measurement,8956 European,'-,5,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011370/GCST90011370_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011371,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_138 (Oscillibacter) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011371/GCST90011371_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011372,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_140 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011372/GCST90011372_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011373,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_15 (Parasutterella) abundance,gut microbiome measurement,8956 European,'-,14,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011373/GCST90011373_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011374,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_150 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,5,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011374/GCST90011374_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011375,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_16 (Faecalibacterium) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011375/GCST90011375_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011376,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_163 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,7,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011376/GCST90011376_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011377,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_165 (Porphyromonadaceae) abundance,gut microbiome measurement,8956 European,'-,11,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011377/GCST90011377_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011378,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_17 (Parabacteroides) abundance,gut microbiome measurement,8956 European,'-,11,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011378/GCST90011378_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011379,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_173 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,13,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011379/GCST90011379_buildGRCh37.tsv.gz
